id,title,director,year,country,image,synopsis
93,BIRDS OF PREY ET LA FANTABULEUSE HISTOIRE DE HARLEY QUINN,Cathy Yan , 2020,Etats-Unis,https://images.mubicdn.net/images/film/203960/cache-408845-1710755965/image-w1280.jpg?size=400x,"Lorsque la jeune Cassandra Cain tombe sur un diamant appartenant au grand criminel Black Mask, Harley Quinn s'associe a Black Canary, Huntress et Renee Montoya pour l'aider et la proteger."
94,SI TU SAVAIS,Alice Wu , 2020,Etats-Unis,https://images.mubicdn.net/images/film/257626/cache-530314-1585882855/image-w1280.jpg?size=400x,"En acceptant d'ecrire les lettres d'amour d'un camarade, Ellie Chu ne s'attendait pas a tisser des liens avec lui... ni a tomber amoureuse de la fille qu'il aime."
95,LA LEYENDA NEGRA,Patricia Vidal Delgado , 2020,Etats-Unis,https://images.mubicdn.net/images/film/251324/cache-494379-1579090019/image-w1280.jpg?size=400x,"In Compton, a soon-to-be undocumented teenager fights for her right to stay in America while risking her family, her friendships, and her first love."
96,IFE,Uyaiedu Ikpe-Etim , 2020,Nigeria,https://images.mubicdn.net/images/film/279489/cache-590072-1600907963/image-w1280.jpg?size=400x,"A love story about ife and Adaora, two Nigerian women who fall in love over a three-day date, but their love is soon tested by the realities of being lesbian in Nigeria."
97,COCON,Leonie Krippendorff , 2020,Allemagne,https://images.mubicdn.net/images/film/254901/cache-505683-1633687234/image-w1280.jpg?size=400x,"Nora grows through observation. Always at her big sister's side, she drifts around the housing blocks and sees people being in love, being high, spiteful and tender. When Nora meets Romy, she suddenly feels trapped in her own skin, and she starts to recognize her true self."
98,KAJILLIONAIRE,Miranda July , 2020,Etats-Unis,https://images.mubicdn.net/images/film/200443/cache-493824-1624169137/image-w1280.jpg?size=400x,"Le pere, la mere et la fille forment une famille de petits escrocs. Leur relation va s'effilocher lorsqu'une belle inconnue se joint a leur minable existence."
99,HAPPIEST SEASON,Clea DuVall , 2020,Canada,https://images.mubicdn.net/images/film/223702/cache-583983-1599307223/image-w1280.jpg?size=400x,A young woman with a plan to propose to her girlfriend while at her family's annual holiday party discovers her partner hasn't yet come out to her conservative parents.
100,AMMONITE,Francis Lee , 2020,Royaume-Uni,https://images.mubicdn.net/images/film/224211/cache-436667-1591925407/image-w1280.jpg?size=400x,"An acclaimed fossil hunter is forced to care for a rich visitor's sick wife, and the two develop an intense bond that forces the two women to re-examine their relationship."
101,SECOND STAR ON THE RIGHT,Ruth Caudeli , 2019,Colombie,https://images.mubicdn.net/images/film/229265/cache-413149-1550410873/image-w1280.jpg?size=400x,"Emilia is a 30-something bisexual woman who refuses to grow up as her female friends already did. Angelica, one of Emilia's friends, is getting married. Her other friends, Clara and Renata, seem to have all their lives figured out: amazing jobs, family, kids... While Emilia is still living with her"
102,BREAKWATER,Cris Lyra , 2019,Bresil,https://images.mubicdn.net/images/film/247357/cache-479185-1591541532/image-w1280.jpg?size=400x,"Un groupe d'amis de Sao Paulo part pour une plage eloignee. En attendant le reveillon de la Saint-Sylvestre, ils se creent un environnement sur et agreable fait de musique et d'amitie. Ils prennent soin les uns des autres, assument leurs corps, leurs sexualites, leurs souvenirs et se sentent libres."
103,HOLY TRINITY,Molly Hewitt , 2019,Etats-Unis,https://images.mubicdn.net/images/film/238082/cache-444406-1560421674/image-w1280.jpg?size=400x,"In this eye-popping, spiritually rollicking film, queer femme dominatrix Trinity huffs a magic aerosol can and develops the ability to speak to the dead. Trinity's submissive trans partner, Baby, is by her side as she journeys in and out of reality on this wild ride of John Waters-style queer spirit"
104,BATWOMAN,Marcos Siega , 2019,Etats-Unis,https://images.mubicdn.net/images/film/236049/cache-436747-1558026070/image-w1280.jpg?size=400x,Kate Kane seeks justice for Gotham city as Batwoman.
105,DEAD TO ME,Amy York Rubin & 9 de plus, 2019,Etats-Unis,https://images.mubicdn.net/images/film/232896/cache-425025-1589791359/image-w1280.jpg?size=400x,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.
106,WORK IN PROGRESS,Tim Mason & 2 de plus, 2019,Etats-Unis,https://images.mubicdn.net/images/film/248794/cache-484388-1628687448/image-w1280.jpg?size=400x,"Abby, a 45-year-old self-identified fat, queer dyke whose misfortune and despair unexpectedly lead her to a vibrantly transformative relationship. Chicago improv mainstay Abby McEnany co-created/stars in this uniquely human comedy series."
107,A BLACK LADY SKETCH SHOW,Robin Thede , 2019,Etats-Unis,https://images.mubicdn.net/images/film/239783/cache-450861-1562626753/image-w1280.jpg?size=400x,A half-hour sketch comedy written by and starring Robin Thede.
108,DEATH WILL COME AND SHALL HAVE YOUR EYES,Jose Luis Torres Leiva , 2019,Chili,https://images.mubicdn.net/images/film/241733/cache-458500-1621356245/image-w1280.jpg?size=400x,"Deux femmes qui ont partage leur vie ensemble sont confrontees a la mort imminente de l'une d'entre elles. Cette derniere refusant de suivre tout traitement, elles choisissent de s'installer dans un petit cottage en foret pour attendre que la mort s'immisce dans leur existence."
109,DEUX,Filippo Meneghetti , 2019,France,https://images.mubicdn.net/images/film/242216/cache-460189-1625760310/image-w1280.jpg?size=400x,"Les retraitees Nina et Madeleine ont cache leur passion amoureuse pendant de nombreuses decennies, pour n'etre aux yeux des autres que les voisines des 2 appartements du dernier etage. Leur lien est mis a l'epreuve lorsqu'elles sont tout a coup incapables de se deplacer librement l'une chez l'autre."
110,THE CANCER JOURNALS REVISITED,Lana Lin , 2019,Etats-Unis,https://images.mubicdn.net/images/film/237385/cache-441683-1559661360/image-w1280.jpg?size=400x,The Cancer Journals Revisited is prompted by the question of what it means to re-visit and re-vision Black lesbian feminist poet Audre Lorde's classic 1980 memoir of her breast cancer experience today.
111,THE L WORD: GENERATION Q,Steph Green & 6 de plus, 2019,Etats-Unis,https://images.mubicdn.net/images/film/248913/cache-484954-1572857705/image-w1280.jpg?size=400x,"Groundbreaking drama series The L Word revolutionized a generation. This fall the highly anticipated sequel The L Word: Generation Q debuts. Returning cast Jennifer Beals, Kate Moennig and Leisha Hailey will resume their original roles."
112,GENTLEMAN JACK,"Sarah Harding, Jennifer Perrott ", 2019,Etats-Unis,https://images.mubicdn.net/images/film/231655/cache-420595-1651579257/image-w1280.jpg?size=400x,"Anne Lister returns to Halifax, West Yorkshire in 1832, determined to transform the fate of her faded ancestral home Shibden Hall."
113,NICE CHINESE GIRLS DON'T!,Jennifer Abod , 2019,Etats-Unis,https://images.mubicdn.net/images/film/237635/cache-442450-1559904173/image-w1280.jpg?size=400x,"Nice Chinese Girls Don't! introduces us to Kitty Tsui, a multihyphenate poet-writer-activist-artist-and-bodybuilder who immigrated to San Francisco from China in the Vietnam war era."
114,CHARLIE'S ANGELS,Elizabeth Banks , 2019,Etats-Unis,https://images.mubicdn.net/images/film/173108/cache-427764-1573610455/image-w1280.jpg?size=400x,Reboot of the 2000 action comedy based on the 1970s TV series.
115,HARLEY QUINN,Juan Meza-Leon & 4 de plus, 2019,Etats-Unis,https://images.mubicdn.net/images/film/241422/cache-457318-1564392468/image-w1280.jpg?size=400x,"The series will focus on a newly single Harley Quinn, who sets off to make it on her own in Gotham City."
116,BOOKSMART,Olivia Wilde , 2019,Etats-Unis,https://images.mubicdn.net/images/film/198245/cache-398638-1560616783/image-w1280.jpg?size=400x,"On the eve of their high school graduation, two academic superstars and best friends suddenly realise that they should have worked less and played more. Determined never to fall short of their peers, the girls set out on a mission to cram four years of fun into one night."
117,SEX EDUCATION,Kate Herron & 4 de plus, 2019,Royaume-Uni,https://images.mubicdn.net/images/film/225815/cache-403255-1657213253/image-w1280.jpg?size=400x,A teenage virgin who lives with his sex therapist mother teams up with a smart and edgy high school classmate to start their own health clinic.
118,SAME BUT DIFFERENT: A TRUE NEW ZEALAND LOVE STORY,Nikki Si'ulepa , 2019,Nouvelle-Zelande,https://images.mubicdn.net/images/film/243825/cache-466669-1567222891/image-w1280.jpg?size=400x,A True New Zealand Love Story based on Kiwi-Samoan writer/director Nikki Si'ulepa and producer Rachel Aneta Wills' journey in pursuit of true love.
119,BABY JANE,Katja Gauriloff , 2019,Finlande,https://images.mubicdn.net/images/film/235842/cache-435785-1557812084/image-w1280.jpg?size=400x,"Jane, a small-town girl, has moved to Helsinki and the world is finally open for her. Passionate and excited, she seeks adventure, all the things she has yearned for so long. Jane gravitates to a gay bar at night, staggers in her nervous state of mind, and meets Piki, the most dashing butch in town."
120,"LOVE, SPELLS AND ALL THAT",Umit Unal , 2019,Turquie,https://images.mubicdn.net/images/film/250013/cache-489195-1620977735/image-w1280.jpg?size=400x,Eren and Reyhan had a love affair when they were young. Eren is the daughter of a powerful MP while Reyhan is the daughter of the keeper in their summerhouse in Buyukada. Eren returns to the island 20 years later and the story starts at this point.
121,SOMEONE GREAT,Jennifer Kaytin Robinson , 2019,Etats-Unis,https://images.mubicdn.net/images/film/201731/cache-416777-1555986451/image-w1280.jpg?size=400x,"After a devastating break up on the eve of her cross-country move, Jenny enjoys one last NYC adventure with her two best pals. Someone Great is a romantic comedy about love, loss, growth and the everlasting bond of female friendship."
122,THE ARCHIVETTES,Megan Rossman , 2019,Etats-Unis,https://images.mubicdn.net/images/film/242616/cache-461697-1565755212/image-w1280.jpg?size=400x,"This inspiring film profiles the Lesbian Herstory Archives, a non-hierarchical, collectively-run archive that preserves the various expressions of lesbian identity, love, and solidarity."
123,EUPHORIA,Augustine Frizzell & 3 de plus, 2019,Etats-Unis,https://images.mubicdn.net/images/film/225797/cache-402119-1707800419/image-w1280.jpg?size=400x,"A look at life for a group of high school students as they grapple with issues of drugs, sex and violence."
124,WELCOME TO THE USA,Assel Aushakimova , 2019,Kazakhstan,https://images.mubicdn.net/images/film/249714/cache-488138-1618437619/image-w1280.jpg?size=400x,"As she waits to return to the U.S. Embassy for her exit visa, a woman shares meals with her elderly mother, has sleepovers with her Muslim convert sister, and reunites with her on-off-girlfriend for what may be the last time."
125,"DYKES, CAMERA, ACTION!",Caroline Berler , 2018,Etats-Unis,https://images.mubicdn.net/images/film/206631/cache-340934-1559284865/image-w1280.jpg?size=400x,A history of queer cinema from the women who made it happen.
126,PORTRAIT DE LA JEUNE FILLE EN FEU,Celine Sciamma , 2019,France,https://images.mubicdn.net/images/film/224497/cache-412234-1582022611/image-w1280.jpg?size=400x,"Marianne, une artiste bretonne du XVIIIe siecle, doit realiser le portrait d'Heloise, la fille d'une comtesse. Mais Heloise resiste a son destin d'epouse en refusant de poser. Marianne va devoir la peindre en secret..."
127,VITA AND VIRGINIA,Chanya Button , 2018,Irlande,https://images.mubicdn.net/images/film/165398/cache-274344-1550519835/image-w1280.jpg?size=400x,It's the fascinating true story about the love affair between socialite and popular author Vita Sackville-West and literary icon Virginia Woolf.
128,ELISA & MARCELA,Isabel Coixet , 2019,Espagne,https://images.mubicdn.net/images/film/226071/cache-402993-1563099677/image-w1280.jpg?size=400x,"The first same-sex marriage in Spain to take place after the Roman Imperial era occurred on 8 June 1901. Two women, Marcela Gracia Ibeas and Elisa Sanchez Loriga, attempted to get married in A Coruna (Galicia, Spain). To achieve it Elisa had to adopt a male identity: Mario Sanchez."
129,LA FAVORITE,Yorgos Lanthimos , 2018,Royaume-Uni,https://images.mubicdn.net/images/film/155444/cache-353625-1574861905/image-w1280.jpg?size=400x,"Debut du XVIIIe siecle, l'Angleterre et la France sont en guerre. A la cour, c'est la mode des courses de canards & des ananas. La reine Anne, a la sante fragile & au caractere instable, regne sous l'influence de son amie Lady Sarah Churchill. Une nouvelle servante, Abigail Hill arrive a la cour."
